"id"	"type_id"	"mat_id"	"name"	"group_id"	"radius"	"shag"	"gabarit"	"width"	"diam"	"kolvo_sklad"	"norma"	"zakaz"	"geometry"	"id_parent"	"property"
"354"	"51"	"30"	"C25-3D22-69WC04 WEILA "	"101"			"хвостовик диаметром 25мм"	"3D"	"22"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""22"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"356"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"23"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""23"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"357"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"23"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""23"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"361"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"25"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""25"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"362"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"26"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""26"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"363"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"26"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""26"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"364"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"27"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""27"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"365"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"27"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""27"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"368"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"29"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""29"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"383"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"36"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""36"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"406"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"3D"	"48"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""48"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"385"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"37"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""37"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"396"	"51"	"30"	"C40-2D43-91WC08 WEILAI "	"101"			"хвостовик диаметром 40мм"	"3D"	"43"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 40мм"", ""11"": ""43"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"387"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"38"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""38"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"389"	"51"	"30"	""	"101"			"хвостовик диаметром 25мм"	"2D"	"39"						"{""4"": ""2D"", ""5"": ""хвостовик диаметром 25мм"", ""11"": ""39"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
"370"	"51"	"30"	"C32-3D30-94WC05 LIFENG "	"101"			"хвостовик диаметром 32мм"	"3D"	"30"						"{""4"": ""3D"", ""5"": ""хвостовик диаметром 32мм"", ""11"": ""30"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""101""}"
