"id"	"type_id"	"mat_id"	"rad"	"name"	"kolvo_sklad"	"norma"	"zakaz"	"group_id"
"85"	"32"	"27"	"0.2"	"DCMT11T302-AHF YB6315"	"0"	"0"	"0"	"29"
"86"	"32"	"24"	"0.2"	"DCMT11T302-MP HS7125 HADSTO"	"0"	"0"	"0"	"29"
"87"	"32"	"27"	"0.4"	"DCMT11T304-AHF YB6315"	"0"	"0"	"0"	"29"
"88"	"32"	"27"	"0.4"	"DCMT11T304-HM YBC252 "	"0"	"0"	"0"	"29"
"89"	"32"	"27"	"0.4"	"DCMT11T304-OTM OC2125 OKE"	"0"	"0"	"0"	"29"
"90"	"32"	"27"	"0.8"	"DCMT11T308-HM YBC252 "	"0"	"0"	"0"	"29"
"91"	"32"	"27"	"0.8"	"DCMT11T308-OTM OC2125 OKE"	"0"	"0"	"0"	"29"
"92"	"32"	"24"	"0.4"	"DCMT11T304-MP HS7125 HADSTO"	"0"	"0"	"0"	"29"
"93"	"32"	"24"	"0.4"	"DCMT11T304-EM YBG205 "	"0"	"0"	"0"	"29"
"94"	"32"	"24"	"0.4"	"DCMT11T304-AHF YB9320"	"0"	"0"	"0"	"29"
"95"	"33"	"27"	"0.4"	""	"0"	"0"	"0"	"30"
"96"	"33"	"27"	"0.8"	""	"0"	"0"	"0"	"30"
"97"	"33"	"24"	"0.4"	""	"0"	"0"	"0"	"30"
"98"	"33"	"24"	"0.8"	""	"0"	"0"	"0"	"30"
"99"	"34"	"27"	"0.4"	"VBMT160404-OTM OC2125 OKE"	"0"	"0"	"0"	"31"
"100"	"34"	"27"	"0.4"	"VBMT160404-HR YBC252"	"0"	"0"	"0"	"31"
"101"	"34"	"27"	"0.4"	"VBMT160404-HМ YBC252"	"0"	"0"	"0"	"31"
"102"	"34"	"27"	"0.4"	"VBMT160404-TM WS8125 HARDSTONE"	"0"	"0"	"0"	"31"
"103"	"34"	"27"	"0.4"	"VBMT160404-TM HS8125 HADSTO"	"0"	"0"	"0"	"31"
"104"	"34"	"27"	"0.8"	"VBMT160408-HR YBC252"	"0"	"0"	"0"	"31"
"105"	"34"	"27"	"0.8"	"VBMT160408-HМ YBC252"	"0"	"0"	"0"	"31"
"106"	"34"	"27"	"0.8"	"VBMT160408-TM WS8125 HARDSTONE"	"0"	"0"	"0"	"31"
"107"	"34"	"27"	"0.8"	"VBMT160408-TM HS8125 HADSTO"	"0"	"0"	"0"	"31"
"108"	"34"	"27"	"0.8"	"VBMT160408-OTM OC2125 OKE"	"0"	"0"	"0"	"31"
"109"	"34"	"24"	"0.4"	"VBMT160404-AHF YB9320"	"0"	"0"	"0"	"31"
"110"	"34"	"24"	"0.4"	"VBMT160404-EM YBG205"	"0"	"0"	"0"	"31"
"111"	"34"	"24"	"0.4"	"VBMT160404-MV LF6018 DESKAR"	"0"	"0"	"0"	"31"
"112"	"34"	"24"	"0.4"	"VBMT160404-TM WS7225 HARDSTONE"	"0"	"0"	"0"	"31"
"113"	"34"	"24"	"0.8"	"VBMT160408-EM YBG205"	"0"	"0"	"0"	"31"
"114"	"34"	"24"	"0.8"	"VBMT160408-MV LF6018 DESKAR"	"0"	"0"	"0"	"31"
"115"	"34"	"24"	"0.8"	"VBMT160408-TM WS7225 HARDSTONE"	"0"	"0"	"0"	"31"
"116"	"34"	"24"	"0.2"	"VBMT160402-AHF YB9320"	"0"	"0"	"0"	"31"
"117"	"35"	"30"	"0.4"	"VNMG160404-ADF YB9320"	"0"	"0"	"0"	"31"
"118"	"35"	"30"	"0.4"	"VNMG160404-BF WS7225 HARDSTONE"	"0"	"0"	"0"	"31"
"119"	"35"	"30"	"0.4"	"VNMG160404-BM WS7225 HARDSTONE"	"0"	"0"	"0"	"31"
"177"	"36"	"30"	"0"	"16ER14W WS5225 HARDSTONE  (WS5225 HARDSTONE)"	"0"	"0"	"0"	"58"
"178"	"36"	"30"	"0"	"16ER19W WS5225 HARDSTONE  (WS5225 HARDSTONE)"	"0"	"0"	"0"	"59"
"125"	"41"	"30"	"0.4"	"ZTGD0404-MG YBG205"	"0"	"0"	"0"	"37"
"124"	"42"	"30"	"0"	"ZTFD0303-MM YB9320"	"0"	"0"	"0"	"35"
"123"	"42"	"30"	"0"	"ZTFD0303-MG YBG205"	"0"	"0"	"0"	"35"
"122"	"43"	"30"	"0.2"	"ZTBD02002-MM YB9320"	"0"	"0"	"0"	"34"
"121"	"44"	"30"	"0.2"	""	"0"	"0"	"0"	"33"
"126"	"41"	"30"	"0.4"	"ZTGD0404-MM YB9320"	"0"	"0"	"0"	"37"
"127"	"45"	"30"	"0.4"	"ZTGD0504-MM YB9320"	"0"	"0"	"0"	"38"
"128"	"46"	"27"	"0.2"	"CCMT060202-HF YBC252"	"0"	"0"	"0"	"39"
"129"	"46"	"27"	"0.2"	"CCMT060202-OTF OС2115 OKE "	"0"	"0"	"0"	"39"
"130"	"46"	"24"	"0.2"	"CCMT060202 HS7125 HADSTO"	"0"	"0"	"0"	"39"
"131"	"46"	"24"	"0.2"	"CCMT060202-MP HS7125 HADSTO"	"0"	"0"	"0"	"39"
"132"	"46"	"27"	"0.4"	"CCMT060204-OTM OC2125 OKE"	"0"	"0"	"0"	"39"
"133"	"46"	"27"	"0.4"	"CCMT060204-HM  YBC252 "	"0"	"0"	"0"	"39"
"134"	"46"	"27"	"0.4"	"CCMT060204-MP HS8125 HADSTO"	"0"	"0"	"0"	"39"
"135"	"46"	"24"	"0.4"	"CCMT060204-EM YBG205"	"0"	"0"	"0"	"39"
"136"	"46"	"24"	"0.4"	"CCMT060204-MP HS7125 HADSTO"	"0"	"0"	"0"	"39"
"137"	"46"	"24"	"0.4"	"CCMT060204-TM WS7225 HARDSTONE"	"0"	"0"	"0"	"39"
"138"	"46"	"24"	"0.4"	"CCMT060204-OTM OP1315 OKE"	"0"	"0"	"0"	"39"
"139"	"46"	"24"	"0.4"	"CCMT060204-OTM OP1215 OKE"	"0"	"0"	"0"	"39"
"140"	"46"	"24"	"0.8"	"CCMT060208-EM YBG205"	"0"	"0"	"0"	"39"
"141"	"46"	"33"	"0.2"	"CCGT060202-AK WSK10 HARDSTONE"	"0"	"0"	"0"	"39"
"142"	"46"	"33"	"0.4"	"CCGT060204-AK WSK10 HARDSTONE"	"0"	"0"	"0"	"39"
"143"	"31"	"33"	"0.2"	"CCGT09Т302-AK WSK10 HARDSTONE"	"0"	"0"	"0"	"27"
"144"	"31"	"33"	"0.4"	"CCGT09Т304-AK WSK10 HARDSTONE"	"0"	"0"	"0"	"27"
"145"	"30"	"33"	"0.4"	"CCGT120404-AK WSK10 HARDSTONE"	"0"	"0"	"0"	"26"
"146"	"30"	"33"	"0.8"	"CCGT120408-AK WSK10 HARDSTONE"	"0"	"0"	"0"	"26"
"147"	"32"	"33"	"0.2"	"DCMT11T302-AK WSK10 HARDSTONE"	"0"	"0"	"0"	"29"
"148"	"32"	"33"	"0.4"	"DCMT11T304-AK WSK10 HARDSTONE"	"0"	"0"	"0"	"29"
"149"	"34"	"33"	"0.2"	"VBGT160402-AK WSK10 HARDSTONE"	"0"	"0"	"0"	"31"
