"id"	"type_id"	"mat_id"	"radius"	"name"	"kolvo_sklad"	"norma"	"zakaz"	"group_id"	"shag"	"gabarit"	"width"	"diam"	"geometry"	"property"	"parent_id"
"304"	"51"	"30"		""				"71"		" стандартный"		"9,9"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""9,9""}"	
"305"	"51"	"30"		""				"71"		" стандартный"		"10"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""10""}"	
"306"	"51"	"30"		""				"71"		" стандартный"		"10,1"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""10,1""}"	
"307"	"51"	"30"		""				"71"		" стандартный"		"10,2"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""10,2""}"	
"308"	"51"	"30"		""				"71"		" стандартный"		"10,3"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""10,3""}"	
"309"	"51"	"30"		""				"71"		" стандартный"		"10,4"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""10,4""}"	
"310"	"51"	"30"		""				"71"		" стандартный"		"10,5"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""10,5""}"	
"311"	"51"	"30"		""				"71"		" стандартный"		"10,6"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""10,6""}"	
"312"	"51"	"30"		""				"71"		" стандартный"		"10,7"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""10,7""}"	
"313"	"51"	"30"		""				"71"		" стандартный"		"10,8"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""10,8""}"	
"314"	"51"	"30"		""				"71"		" стандартный"		"10,9"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""10,9""}"	
"315"	"51"	"30"		""				"71"		" стандартный"		"11"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""11""}"	
"316"	"51"	"30"		""				"71"		" стандартный"		"11,1"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""11,1""}"	
"317"	"51"	"30"		""				"71"		" стандартный"		"11,2"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""11,2""}"	
"318"	"51"	"30"		""				"71"		" стандартный"		"11,3"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""11,3""}"	
"319"	"51"	"30"		""				"71"		" стандартный"		"11,4"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""11,4""}"	
"320"	"51"	"30"		""				"71"		" стандартный"		"11,5"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""11,5""}"	
"321"	"51"	"30"		""				"71"		" стандартный"		"11,6"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""11,6""}"	
"322"	"51"	"30"		""				"71"		" стандартный"		"11,7"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""11,7""}"	
"323"	"51"	"30"		""				"71"		" стандартный"		"11,8"		"{""1"": ""Сверло "", ""2"": ""HSS"", ""3"": ""универсальная"", ""5"": "" стандартный"", ""11"": ""11,8""}"	
